Employee_ID,Department,Job_Role,Age,Gender,Date_of_Joining,Tenure_Years,Salary,Performance_Rating,Training_Hours,Engagement_Score,Satisfaction_Score,Training_Need,Turnover,Hire_Time_Days
141,Marketing,Digital Marketer,43,Male,2016-12-04,7,93591,3,15,81,90,No,No,24
142,HR,Recruitment Manager,37,Female,2022-12-21,1,85419,4,35,92,69,No,No,21
143,Operations,Operations Manager,31,Male,2018-05-27,6,116479,5,45,93,56,Yes,No,53
144,Finance,Financial Analyst,39,Male,2015-11-10,8,89264,1,7,60,57,No,No,45
145,Marketing,Marketing Analyst,50,Female,2015-03-17,9,116579,3,47,91,99,Yes,No,50
146,Finance,Financial Analyst,54,Male,2024-01-29,0,43379,2,38,86,88,Yes,No,58
147,HR,Recruitment Manager,23,Male,2022-01-22,2,90884,2,33,96,53,No,No,20
148,Operations,Operations Manager,43,Male,2016-07-18,8,106426,4,7,90,89,Yes,No,47
149,HR,Recruitment Manager,52,Female,2019-03-30,5,63726,2,39,83,60,No,No,24
150,HR,HR Generalist,26,Female,2016-01-04,8,91543,5,31,95,55,No,No,22
151,Marketing,Marketing Analyst,45,Male,2018-07-30,6,58170,1,47,68,87,Yes,Yes,40
152,Finance,Financial Analyst,28,Female,2016-01-17,8,113340,3,26,66,93,Yes,No,46
153,Marketing,Digital Marketer,36,Male,2019-12-10,4,104963,3,37,81,55,Yes,No,42
154,IT,Data Scientist,46,Male,2020-10-11,4,70360,3,17,90,92,No,No,54
155,IT,Software Engineer,47,Female,2022-03-28,2,105569,4,19,83,90,No,No,37
156,HR,Recruitment Manager,28,Female,2017-11-20,6,78189,1,33,69,72,Yes,No,36
157,HR,HR Generalist,29,Female,2015-11-10,8,90949,4,37,89,86,Yes,No,47
158,Marketing,Digital Marketer,36,Female,2023-05-22,1,107884,1,10,90,70,No,No,29
159,HR,HR Generalist,58,Male,2022-10-07,2,93281,1,21,72,96,No,Yes,26
160,Operations,Operations Manager,23,Male,2015-06-28,9,45727,1,29,94,50,Yes,Yes,53
161,Finance,Financial Analyst,27,Female,2016-07-15,8,65913,1,38,99,76,Yes,No,29
162,IT,Data Scientist,46,Female,2021-06-23,3,40048,4,18,84,98,Yes,No,32
163,Sales,Sales Representative,45,Female,2018-03-18,6,99495,2,43,93,55,No,No,60
164,Sales,Sales Representative,23,Male,2019-03-31,5,57813,4,18,96,92,No,No,47
165,Finance,Financial Analyst,57,Male,2020-12-01,3,102208,1,37,88,80,Yes,No,36
166,IT,Data Scientist,38,Female,2022-10-26,2,50295,5,37,81,64,No,No,45
167,HR,HR Generalist,50,Male,2024-07-06,0,112412,4,33,74,77,Yes,No,45
168,IT,Software Engineer,50,Female,2017-09-13,7,87182,4,43,69,83,Yes,Yes,48
169,Operations,Operations Manager,25,Male,2018-04-12,6,84932,1,26,99,60,No,No,27
170,HR,Recruitment Manager,34,Male,2015-10-22,9,91235,1,26,93,62,No,Yes,49
171,Operations,Operations Manager,31,Female,2017-07-06,7,114807,2,43,88,52,Yes,No,53
172,Marketing,Marketing Analyst,22,Male,2017-07-29,7,48161,2,20,88,93,Yes,No,21
173,Finance,Financial Analyst,40,Female,2020-08-23,4,104674,2,15,83,85,No,No,40
174,HR,Recruitment Manager,51,Male,2023-10-30,0,59213,2,12,69,75,No,No,28
175,Marketing,Marketing Analyst,23,Female,2019-01-31,5,67174,1,31,97,86,No,No,55
176,Sales,Sales Executive,55,Female,2016-10-24,8,80452,4,39,94,54,Yes,No,46
177,Sales,Sales Executive,48,Female,2022-05-06,2,80905,1,6,75,89,Yes,No,47
178,Marketing,Marketing Analyst,51,Female,2017-10-17,7,54442,5,33,77,64,No,No,47
179,Marketing,Marketing Analyst,59,Female,2015-01-17,9,51662,1,14,80,90,No,Yes,48
180,HR,Recruitment Manager,42,Female,2022-11-04,1,43183,1,32,98,92,Yes,No,16
181,Sales,Sales Representative,37,Male,2021-10-17,3,75650,3,29,67,72,No,No,55
182,IT,Software Engineer,43,Male,2024-07-02,0,61158,4,6,100,66,No,Yes,21
183,Finance,Financial Analyst,26,Female,2023-06-22,1,114777,1,38,64,87,Yes,No,48
184,IT,Data Scientist,28,Male,2020-02-13,4,63224,2,30,72,88,No,No,32
185,Operations,Operations Manager,57,Male,2020-11-23,3,68320,4,25,68,67,Yes,Yes,35
186,Marketing,Digital Marketer,24,Male,2021-06-06,3,41850,3,12,70,95,No,No,47
187,Finance,Financial Analyst,50,Male,2019-02-02,5,94344,5,39,86,57,Yes,No,44
188,Marketing,Marketing Analyst,40,Male,2017-06-06,7,97272,3,7,61,50,No,Yes,57
189,Marketing,Digital Marketer,57,Female,2024-05-10,0,46348,2,49,93,58,No,No,39
190,HR,Recruitment Manager,59,Male,2015-01-12,9,73222,3,39,91,78,Yes,No,25
191,Finance,Financial Analyst,36,Female,2022-08-11,2,90292,1,20,65,69,Yes,No,23
192,HR,HR Generalist,45,Female,2016-03-01,8,56326,5,20,91,68,No,No,45
193,Operations,Operations Manager,32,Female,2020-07-14,4,66537,2,14,74,69,Yes,Yes,31
194,Finance,Financial Analyst,33,Male,2015-08-06,9,94705,2,20,95,58,Yes,No,48
195,Marketing,Marketing Analyst,51,Male,2024-01-30,0,48174,4,15,84,82,No,No,49
196,Finance,Financial Analyst,28,Male,2019-08-07,5,51267,5,5,65,50,Yes,No,43
197,Operations,Operations Manager,48,Female,2017-02-10,7,91943,3,9,70,87,Yes,No,17
198,Sales,Sales Executive,50,Male,2018-11-27,5,99062,2,43,100,82,No,Yes,24
199,Marketing,Digital Marketer,45,Female,2023-01-06,1,105765,3,13,61,80,Yes,No,36
200,HR,Recruitment Manager,50,Male,2020-10-23,4,102317,3,49,81,72,No,No,40
201,Operations,Operations Manager,58,Male,2019-09-19,5,64747,4,18,76,82,Yes,No,53
202,Finance,Financial Analyst,43,Female,2020-12-05,3,96809,3,34,93,53,Yes,No,44
203,Operations,Operations Manager,23,Male,2017-01-26,7,118274,1,21,60,63,Yes,No,57
204,Marketing,Digital Marketer,22,Male,2020-02-06,4,42706,5,15,79,65,No,No,38
205,Marketing,Marketing Analyst,59,Female,2021-06-03,3,55117,1,16,60,88,No,No,28
206,HR,HR Generalist,42,Male,2021-11-14,2,63437,4,47,69,89,No,No,29
207,Sales,Sales Executive,49,Male,2016-03-11,8,57766,5,10,86,69,No,No,55
208,Finance,Financial Analyst,25,Female,2014-11-05,9,58110,3,47,77,81,No,No,36
209,Marketing,Marketing Analyst,51,Male,2018-02-02,6,54113,5,21,95,95,No,No,41
210,Operations,Operations Manager,60,Female,2020-07-04,4,56567,1,42,67,61,No,No,21
211,Operations,Operations Manager,38,Female,2017-07-17,7,54501,3,37,94,54,Yes,Yes,15
212,IT,Software Engineer,48,Female,2018-11-22,5,103089,1,25,100,58,Yes,No,56
213,Finance,Financial Analyst,25,Male,2018-08-13,6,94056,1,8,98,100,No,Yes,60
214,Marketing,Digital Marketer,47,Male,2022-06-11,2,98417,5,14,95,58,Yes,No,25
215,Sales,Sales Representative,40,Female,2021-04-05,3,73123,2,30,60,90,Yes,No,19
216,Sales,Sales Representative,31,Male,2024-06-26,0,106493,2,12,81,50,No,No,36
217,Finance,Financial Analyst,27,Female,2021-11-14,2,67145,3,33,81,93,No,No,48
218,Sales,Sales Executive,42,Female,2015-05-11,9,90291,4,39,90,85,No,No,29
219,IT,Data Scientist,54,Female,2021-08-30,3,59423,1,14,69,52,No,No,22
220,Operations,Operations Manager,55,Female,2024-06-22,0,114093,3,27,90,75,No,No,54
221,HR,Recruitment Manager,36,Male,2021-12-07,2,90315,3,26,92,50,Yes,No,45
222,Sales,Sales Representative,49,Male,2015-08-13,9,111532,1,38,92,57,Yes,No,17
223,Marketing,Marketing Analyst,43,Female,2017-08-21,7,103706,4,31,60,91,Yes,No,45
224,Operations,Operations Manager,32,Male,2022-05-25,2,102945,5,47,70,74,No,No,52
225,HR,HR Generalist,23,Female,2015-11-27,8,118614,2,44,88,70,No,No,51
226,Operations,Operations Manager,54,Female,2019-03-25,5,91307,2,28,84,68,Yes,No,30
227,Finance,Financial Analyst,51,Male,2017-07-02,7,118554,3,44,100,59,No,No,31
228,Finance,Financial Analyst,56,Male,2022-05-31,2,98575,4,18,71,88,No,No,60
229,Sales,Sales Representative,35,Female,2023-10-18,1,91076,3,37,72,72,No,No,16
230,Sales,Sales Executive,34,Male,2023-02-09,1,113035,4,10,76,82,No,No,41
231,Marketing,Digital Marketer,25,Male,2024-05-15,0,47696,3,15,77,89,No,No,41
232,HR,Recruitment Manager,36,Male,2014-10-27,10,50509,1,37,61,92,No,No,53
233,Sales,Sales Executive,23,Male,2015-06-25,9,52514,3,10,97,75,Yes,No,51
234,Finance,Financial Analyst,39,Female,2023-03-27,1,60807,2,42,74,58,Yes,No,31
235,HR,Recruitment Manager,31,Female,2020-05-13,4,66795,1,13,86,61,Yes,No,16
236,Marketing,Digital Marketer,30,Female,2020-02-17,4,50690,5,49,77,100,Yes,Yes,24
237,IT,Software Engineer,48,Male,2022-10-06,2,59067,4,39,62,82,No,No,57
238,IT,Data Scientist,42,Female,2015-09-01,9,70335,3,48,72,56,No,No,37
239,Finance,Financial Analyst,35,Female,2021-11-18,2,112400,4,9,71,74,Yes,No,56
240,Sales,Sales Executive,51,Male,2018-01-07,6,95385,3,39,72,98,Yes,No,31
241,HR,Recruitment Manager,46,Male,2024-02-25,0,85131,4,29,95,58,Yes,No,34
242,Finance,Financial Analyst,55,Female,2016-03-28,8,67542,4,18,85,55,Yes,No,22
243,Finance,Financial Analyst,32,Male,2017-01-15,7,66412,2,20,66,88,No,No,50
244,IT,Software Engineer,35,Female,2015-01-26,9,51908,2,11,92,58,Yes,No,48
245,Operations,Operations Manager,60,Female,2021-08-27,3,74353,4,45,100,88,Yes,No,28
246,Operations,Operations Manager,34,Female,2021-12-03,2,68212,5,48,73,50,Yes,No,45
247,Sales,Sales Representative,40,Female,2020-03-13,4,83128,3,47,65,89,Yes,No,38
248,Finance,Financial Analyst,36,Male,2014-11-17,9,93655,2,6,91,68,Yes,No,55
249,Marketing,Marketing Analyst,29,Female,2018-06-14,6,81968,1,28,72,62,No,No,42
250,Operations,Operations Manager,47,Male,2015-01-23,9,58707,4,9,78,90,Yes,No,53
251,HR,Recruitment Manager,31,Male,2014-11-10,9,115054,4,21,73,57,Yes,Yes,49
252,HR,HR Generalist,24,Female,2023-10-23,1,101629,5,10,83,91,Yes,Yes,30
253,Finance,Financial Analyst,23,Male,2016-06-25,8,101034,3,42,76,94,No,Yes,55
254,Sales,Sales Executive,53,Male,2018-01-22,6,41724,2,14,98,93,Yes,No,24
255,Finance,Financial Analyst,26,Male,2016-11-03,7,76626,1,22,99,79,No,No,17
256,Operations,Operations Manager,31,Female,2018-03-13,6,47682,3,26,76,90,No,No,16
257,Marketing,Marketing Analyst,35,Male,2019-12-19,4,117667,2,20,93,63,No,No,15
258,Marketing,Digital Marketer,59,Male,2019-08-01,5,83501,5,46,94,74,Yes,No,43
259,Operations,Operations Manager,37,Female,2017-12-02,6,80144,1,28,69,78,Yes,No,56
260,HR,HR Generalist,40,Female,2016-07-10,8,101368,5,41,93,62,Yes,No,32
261,Sales,Sales Representative,38,Male,2022-11-29,1,103543,4,21,92,75,Yes,No,32
262,IT,Software Engineer,35,Female,2021-07-26,3,74303,1,47,61,77,No,No,27
263,Marketing,Digital Marketer,30,Male,2016-03-15,8,72763,3,35,88,61,No,No,42
264,HR,Recruitment Manager,59,Male,2015-03-11,9,51507,5,33,68,56,Yes,No,48
265,Operations,Operations Manager,52,Male,2019-06-30,5,91551,1,31,63,93,No,No,34
266,Marketing,Marketing Analyst,57,Female,2022-07-11,2,40017,2,5,65,71,No,No,27
267,IT,Data Scientist,58,Female,2016-10-15,8,74278,5,15,88,75,Yes,Yes,21
268,Marketing,Marketing Analyst,41,Male,2019-03-08,5,105669,3,10,66,84,No,No,30
269,Sales,Sales Executive,50,Male,2017-02-02,7,61720,4,21,70,78,Yes,No,16
270,Sales,Sales Executive,41,Male,2023-09-06,1,89995,2,21,84,64,No,No,47
271,Finance,Financial Analyst,33,Female,2020-09-21,4,41096,5,31,98,64,No,No,35
272,HR,Recruitment Manager,38,Female,2016-10-11,8,75758,2,16,74,79,No,No,38
273,HR,Recruitment Manager,37,Male,2017-06-12,7,53358,4,38,71,62,No,No,53
274,Marketing,Marketing Analyst,24,Female,2019-07-22,5,94256,4,33,83,50,Yes,No,19
275,HR,HR Generalist,27,Female,2015-02-19,9,76561,2,10,87,51,No,No,36
276,Operations,Operations Manager,34,Female,2015-07-16,9,94903,4,50,92,94,No,Yes,17
277,Sales,Sales Representative,46,Female,2015-07-06,9,89934,2,23,91,75,Yes,No,55
278,Marketing,Digital Marketer,31,Female,2018-04-27,6,96562,4,50,97,96,No,No,38
279,Marketing,Digital Marketer,59,Male,2019-03-28,5,85437,1,32,88,78,No,Yes,29
280,Marketing,Marketing Analyst,46,Male,2024-04-26,0,84414,2,16,91,54,Yes,Yes,53
281,Sales,Sales Executive,33,Male,2020-03-04,4,108182,4,48,87,61,No,No,34
282,Finance,Financial Analyst,32,Female,2021-01-22,3,60689,1,47,67,80,No,No,34
283,Marketing,Digital Marketer,24,Female,2024-06-22,0,83492,4,9,63,98,No,No,44
284,Operations,Operations Manager,57,Male,2015-07-15,9,89494,1,32,62,52,Yes,No,33
285,Marketing,Marketing Analyst,22,Male,2023-03-26,1,45649,2,43,70,80,Yes,No,16
286,Operations,Operations Manager,28,Male,2022-08-16,2,48561,5,47,67,62,Yes,No,42
287,Sales,Sales Executive,52,Female,2022-03-24,2,105720,2,39,66,58,No,No,42
288,Finance,Financial Analyst,27,Male,2021-02-26,3,112488,2,11,84,73,No,No,51
289,Finance,Financial Analyst,41,Male,2023-12-21,0,114185,1,14,98,75,No,No,37
290,Finance,Financial Analyst,23,Male,2017-11-07,6,40162,2,21,73,91,Yes,Yes,46
291,Operations,Operations Manager,30,Female,2018-05-10,6,74176,2,7,71,92,No,No,35
292,IT,Software Engineer,54,Female,2021-03-17,3,58954,3,25,72,90,Yes,No,59
293,IT,Data Scientist,47,Male,2024-10-22,0,76023,4,40,82,52,No,No,17
294,HR,Recruitment Manager,32,Female,2019-10-09,5,46117,3,10,81,91,No,Yes,58
295,Marketing,Marketing Analyst,33,Female,2014-12-21,9,88404,5,45,67,60,No,Yes,51
296,Finance,Financial Analyst,48,Female,2017-03-05,7,45587,3,5,61,88,Yes,No,40
297,IT,Software Engineer,24,Male,2017-05-22,7,99491,5,47,88,87,No,No,37
298,Marketing,Marketing Analyst,23,Female,2019-06-09,5,87668,2,35,74,96,No,No,15
299,Operations,Operations Manager,53,Female,2020-06-28,4,91420,2,14,87,74,No,No,56
300,Operations,Operations Manager,38,Male,2020-07-24,4,60745,5,5,79,97,Yes,Yes,24
